constituency,S,District,Group,candidate,party,Alliance,votes,rank,name,location,slr
Sivaganga,N,Sivaganga,12,Raja Sekaran.,PMK,PMK+,916,6,Raja Sekaran.,,
Manamadurai,S,Sivaganga,12,Sathya,NTK,NTK+,42631,1,Sathya,,
Manamadurai,S,Sivaganga,12,Mariappan Kennedy.S,ADMK,ADMK+,41570,2,Mariappan Kennedy.S,,
Manamadurai,S,Sivaganga,12,Thiru Mozhi,VC,PWF+,37179,3,Thiru Mozhi,,
Manamadurai,S,Sivaganga,12,Rajendran.M.,BJP,BJP+,33567,4,Rajendran.M.,,
Manamadurai,S,Sivaganga,12,Malai Swamy.R,PMK,PMK+,15036,5,Malai Swamy.R,,
Manamadurai,S,Sivaganga,12,Chitra Selvi,DMK,DMK+,5580,6,Chitra Selvi,,
Paramakudi,S,Ramanathapuram,12,Thisai Veeran,DMK,DMK+,26928,1,Thisai Veeran,,
Paramakudi,S,Ramanathapuram,12,Dr. Muthaiah.S,ADMK,ADMK+,22531,2,Dr. Muthaiah.S,,
Paramakudi,S,Ramanathapuram,12,Hema Latha Pandiyan,NTK,NTK+,18315,3,Hema Latha Pandiyan,,
Paramakudi,S,Ramanathapuram,12,Irulan,VC,PWF+,14915,4,Irulan,,
Tiruvadanai,N,Ramanathapuram,12,Karunas.S,MPP,ADMK+,44907,1,Karunas.S,,
Tiruvadanai,N,Ramanathapuram,12,Pandi.V,PMK,PMK+,28254,2,Pandi.V,,
Tiruvadanai,N,Ramanathapuram,12,Mani Maran,DMDK,PWF+,27450,3,Mani Maran,,
Tiruvadanai,N,Ramanathapuram,12,Arivu Selvan,NTK,NTK+,13182,4,Arivu Selvan,,
Tiruvadanai,N,Ramanathapuram,12,Devanathan,IMKMK,BJP+,12460,5,Devanathan,,
Mudhukulathur,N,Ramanathapuram,12,Keerthika Muniya Swamy,ADMK,ADMK+,45864,1,Keerthika Muniya Swamy,,
Mudhukulathur,N,Ramanathapuram,12,Arasa Kumar.P.T,BJP,BJP+,30891,2,Arasa Kumar.P.T,,
Mudhukulathur,N,Ramanathapuram,12,Kadafi,NTK,NTK+,26325,3,Kadafi,,
Mudhukulathur,N,Ramanathapuram,12,Malaysia Pandiyan,INC,DMK+,14046,4,Malaysia Pandiyan,,
Mudhukulathur,N,Ramanathapuram,12,Irulandi.R,PMK,PMK+,8261,5,Irulandi.R,,
Mudhukulathur,N,Ramanathapuram,12,Raj Kumar,MDMK,PWF+,2292,6,Raj Kumar,,
Kanniyakumari,N,Kanniyakumari,12,Thalavai Sundaram.N,ADMK,ADMK+,65826,1,Thalavai Sundaram.N,,
Kanniyakumari,N,Kanniyakumari,12,Bala Subramanian.V @ Karkadu Lemuriyan,NTK,NTK+,56245,2,Bala Subramanian.V @ Karkadu Lemuriyan,,
Kanniyakumari,N,Kanniyakumari,12,Hilman Purush Edwin.S,PMK,PMK+,47053,3,Hilman Purush Edwin.S,,
Kanniyakumari,N,Kanniyakumari,12,Meena Devi.M.,BJP,BJP+,40351,4,Meena Devi.M.,,
Kanniyakumari,N,Kanniyakumari,12,Austin,DMK,DMK+,20807,5,Austin,,
Nagercoil,N,Kanniyakumari,12,Suresh Rajan,DMK,DMK+,44914,1,Suresh Rajan,,
Nagercoil,N,Kanniyakumari,12,Dhanam,NTK,NTK+,30554,2,Dhanam,,
Nagercoil,N,Kanniyakumari,12,George.M,PMK,PMK+,24159,3,George.M,,
Nagercoil,N,Kanniyakumari,12,Rani Celine,MDMK,PWF+,14554,4,Rani Celine,,
Nagercoil,N,Kanniyakumari,12,Nanjil Murugeshan,ADMK,ADMK+,2047,5,Nanjil Murugeshan,,
Kollachal,N,Kanniyakumari,12,Prabhakaran,NTK,NTK+,61131,1,Prabhakaran,,
Kollachal,N,Kanniyakumari,12,Raj Kumar Ramesh,BJP,BJP+,40138,2,Raj Kumar Ramesh,,
Kollachal,N,Kanniyakumari,12,Prnce,INC,DMK+,34340,3,Prnce,,
Kollachal,N,Kanniyakumari,12,Sampath Chandra,MDMK,PWF+,32961,4,Sampath Chandra,,
Kollachal,N,Kanniyakumari,12,Patchai Ammal.K.T,ADMK,ADMK+,32833,5,Patchai Ammal.K.T,,
Kollachal,N,Kanniyakumari,12,Alexander Rajkumar,PMK,PMK+,26286,6,Alexander Rajkumar,,
Padmanabhapuram,N,Kanniyakumari,12,Dr.Saju.V,PMK,PMK+,52430,1,Dr.Saju.V,,
Padmanabhapuram,N,Kanniyakumari,12,Rajendra Prasath.K.P,ADMK,ADMK+,47659,2,Rajendra Prasath.K.P,,
Padmanabhapuram,N,Kanniyakumari,12,Arul Chelastin,NTK,NTK+,29915,3,Arul Chelastin,,
Padmanabhapuram,N,Kanniyakumari,12,Shreeba Prasad.S,BJP,BJP+,2534,4,Shreeba Prasad.S,,
Vilavancode,N,Kanniyakumari,12,Vijaya Dharani,INC,DMK+,65087,1,Vijaya Dharani,,
Vilavancode,N,Kanniyakumari,12,Dharmaraj.C,BJP,BJP+,63151,2,Dharmaraj.C,,
Vilavancode,N,Kanniyakumari,12,Hariharan.R,PMK,PMK+,44506,3,Hariharan.R,,
Vilavancode,N,Kanniyakumari,12,G Nanjil Dominic,ADMK,ADMK+,37315,4,G Nanjil Dominic,,
Vilavancode,N,Kanniyakumari,12,Chella Swamy.R,CPI,PWF+,28039,5,Chella Swamy.R,,
Killiyoor,N,Kanniyakumari,12,Kumara Das,TMC,PWF+,62980,1,Kumara Das,,
Killiyoor,N,Kanniyakumari,12,Rathinamma Susai Adimai,NTK,NTK+,61476,2,Rathinamma Susai Adimai,,
Killiyoor,N,Kanniyakumari,12,Rajesh,INC,DMK+,54724,3,Rajesh,,
Killiyoor,N,Kanniyakumari,12,Merry Kamal Bhai.A,ADMK,ADMK+,46221,4,Merry Kamal Bhai.A,,
Killiyoor,N,Kanniyakumari,12,Alexander.C,PMK,PMK+,18687,5,Alexander.C,,
Karaikudi,N,Sivaganga,12,Rama Swamy.K.R,INC,DMK+,66221,1,Rama Swamy.K.R,,
Karaikudi,N,Sivaganga,12,Sevanthiyappan,MDMK,PWF+,55448,2,Sevanthiyappan,,
Karaikudi,N,Sivaganga,12,Durai Pandi.P.R,PMK,PMK+,48546,3,Durai Pandi.P.R,,
Karaikudi,N,Sivaganga,12,Parimalam,NTK,NTK+,28423,4,Parimalam,,
Karaikudi,N,Sivaganga,12,Muthu Lakshmi,BJP,BJP+,21478,5,Muthu Lakshmi,,
Ramanathapuram,N,Ramanathapuram,12,Durai Kannan,BJP,BJP+,67120,1,Durai Kannan,,
Ramanathapuram,N,Ramanathapuram,12,Kalanjiyam Siva Kumar,NTK,NTK+,23497,2,Kalanjiyam Siva Kumar,,
Ramanathapuram,N,Ramanathapuram,12,Javahirulla,MMK,DMK+,17932,3,Javahirulla,,
Ramanathapuram,N,Ramanathapuram,12,Abdhul Ladeep.A,PMK,PMK+,4373,4,Abdhul Ladeep.A,,
Perambalur,S,Perambalur,13,Ilambai.R.Tamil Selvan,ADMK,ADMK+,51212,1,Ilambai.R.Tamil Selvan,,
Perambalur,S,Perambalur,13,Sathya Seelan.M,PMK,PMK+,41635,2,Sathya Seelan.M,,
Perambalur,S,Perambalur,13,Arun Kumar.,NTK,NTK+,40095,3,Arun Kumar.,,
Perambalur,S,Perambalur,13,Kaliya Perumal,BJP,BJP+,31733,4,Kaliya Perumal,,
Perambalur,S,Perambalur,13,Rajendran,DMDK,PWF+,20111,5,Rajendran,,
Kunnam,N,Perambalur,13,Arul.P,NTK,NTK+,69032,1,Arul.P,,
Kunnam,N,Perambalur,13,Raghupathi,IJK,BJP+,41483,2,Raghupathi,,
Kunnam,N,Perambalur,13,Rama Chandran.R.T,ADMK,ADMK+,22365,3,Rama Chandran.R.T,,
Kunnam,N,Perambalur,13,Azhur Zanavash,VC,PWF+,18020,4,Azhur Zanavash,,
Vridhachalam,N,Cuddalore,13,Muthu Kumar,DMDK,PWF+,59032,1,Muthu Kumar,,
Vridhachalam,N,Cuddalore,13,Kali Selvan.V.T,ADMK,ADMK+,43272,2,Kali Selvan.V.T,,
Vridhachalam,N,Cuddalore,13,Siva Rajan.A,NTK,NTK+,27806,3,Siva Rajan.A,,
Vridhachalam,N,Cuddalore,13,Chella Durai,IJK,BJP+,13166,4,Chella Durai,,
Vridhachalam,N,Cuddalore,13,Dr.Tamilarasi,PMK,PMK+,1589,5,Dr.Tamilarasi,,
Neyveli,N,Cuddalore,13,Rajendran,DMK,DMK+,67971,1,Rajendran,,
Neyveli,N,Cuddalore,13,Kalai Selvan,NTK,NTK+,33663,2,Kalai Selvan,,
Neyveli,N,Cuddalore,13,Chandran,IJK,BJP+,31878,3,Chandran,,
Neyveli,N,Cuddalore,13,Raja Sekar.R,ADMK,ADMK+,4840,4,Raja Sekar.R,,
Panruti,N,Cuddalore,13,Kumar,ViSK,DMK+,62152,1,Kumar,,
Panruti,N,Cuddalore,13,Syed Batcha,NTK,NTK+,37660,2,Syed Batcha,,
Panruti,N,Cuddalore,13,Sivakkolundhu,DMDK,PWF+,37361,3,Sivakkolundhu,,
Panruti,N,Cuddalore,13,Sathya Paneer Selvam,ADMK,ADMK+,21392,4,Sathya Paneer Selvam,,
Panruti,N,Cuddalore,13,Saravanan,IMKMK,BJP+,9319,5,Saravanan,,
Cuddalore,N,Cuddalore,13,Chandra  Sekar,TMC,PWF+,62442,1,Chandra  Sekar,,
Cuddalore,N,Cuddalore,13,Puhalendhi,DMK,DMK+,58043,2,Puhalendhi,,
Cuddalore,N,Cuddalore,13,Thamarai Kannan.PL.,PMK,PMK+,43994,3,Thamarai Kannan.PL.,,
Cuddalore,N,Cuddalore,13,Sambath.M.C,ADMK,ADMK+,43696,4,Sambath.M.C,,
Cuddalore,N,Cuddalore,13,Senthamilan Seeman,NTK,NTK+,16055,5,Senthamilan Seeman,,
Cuddalore,N,Cuddalore,13,Selvam.P,BJP,BJP+,11028,6,Selvam.P,,
Kurinjipadi,N,Cuddalore,13,Kadal Dheeban,NTK,NTK+,48843,1,Kadal Dheeban,,
Kurinjipadi,N,Cuddalore,13,Muthu Krishnan.Sun.,PMK,PMK+,38166,2,Muthu Krishnan.Sun.,,
Kurinjipadi,N,Cuddalore,13,Chorathur R.Rajendran,ADMK,ADMK+,16322,3,Chorathur R.Rajendran,,
Kurinjipadi,N,Cuddalore,13,Paneer Selvam.M.R.K,DMK,DMK+,2543,4,Paneer Selvam.M.R.K,,
Bhuvanagiri,N,Cuddalore,13,Selvi Rama Jayam,ADMK,ADMK+,68183,1,Selvi Rama Jayam,,
Bhuvanagiri,N,Cuddalore,13,Ashok Kumar.T,PMK,PMK+,65543,2,Ashok Kumar.T,,
Bhuvanagiri,N,Cuddalore,13,Saravanan,DMK,DMK+,60813,3,Saravanan,,
Bhuvanagiri,N,Cuddalore,13,Chinthanai Selvan,VC,PWF+,57227,4,Chinthanai Selvan,,
Bhuvanagiri,N,Cuddalore,13,Rathna Vel,NTK,NTK+,49398,5,Rathna Vel,,
Bhuvanagiri,N,Cuddalore,13,Muthu,IMKMK,BJP+,17561,6,Muthu,,
Chidambaram,N,Cuddalore,13,Arul.Era,PMK,PMK+,66848,1,Arul.Era,,
Chidambaram,N,Cuddalore,13,Pandiyan.K.A,ADMK,ADMK+,57296,2,Pandiyan.K.A,,
Chidambaram,N,Cuddalore,13,Senthil Kumar,DMK,DMK+,56880,3,Senthil Kumar,,
Chidambaram,N,Cuddalore,13,Bala Krishnan,CPI,PWF+,54114,4,Bala Krishnan,,
Chidambaram,N,Cuddalore,13,Mani Maran.G,BJP,BJP+,46693,5,Mani Maran.G,,
Chidambaram,N,Cuddalore,13,Satheesh Kumar,NTK,NTK+,9612,6,Satheesh Kumar,,
Sirkazhi,S,Nagapattinam,13,Killai Raveendhran,DMK,DMK+,47718,1,Killai Raveendhran,,
Sirkazhi,S,Nagapattinam,13,Umanath,DMDK,PWF+,42060,2,Umanath,,
Sirkazhi,S,Nagapattinam,13,Jothi Bala Murali,NTK,NTK+,10139,3,Jothi Bala Murali,,
Sirkazhi,S,Nagapattinam,13,Bharathi.P.V,ADMK,ADMK+,8725,4,Bharathi.P.V,,
Sirkazhi,S,Nagapattinam,13,Ponn Muthu Kumar,PMK,PMK+,1423,5,Ponn Muthu Kumar,,
Mayuram,N,Nagapattinam,13,Sahul Hameed.C,NTK,NTK+,57335,1,Sahul Hameed.C,,
Mayuram,N,Nagapattinam,13,Arul Selvan,DMDK,PWF+,52756,2,Arul Selvan,,
Mayuram,N,Nagapattinam,13,Muthu Kumar.C,BJP,BJP+,41642,3,Muthu Kumar.C,,
Mayuram,N,Nagapattinam,13,Radha Krishnan.V,ADMK,ADMK+,38906,4,Radha Krishnan.V,,
Mayuram,N,Nagapattinam,13,Ayyappan.S.A,PMK,PMK+,26280,5,Ayyappan.S.A,,
Poompuhar,N,Nagapattinam,13,Kaliya Perumal,NTK,NTK+,64314,1,Kaliya Perumal,,
Poompuhar,N,Nagapattinam,13,Pawn Raj,ADMK,ADMK+,43389,2,Pawn Raj,,
Poompuhar,N,Nagapattinam,13,Shajahan,IUML,DMK+,40930,3,Shajahan,,
Poompuhar,N,Nagapattinam,13,Shankar.M,TMC,PWF+,10831,4,Shankar.M,,
Poompuhar,N,Nagapattinam,13,Selva Muthu Kumaran,IJK,BJP+,2100,5,Selva Muthu Kumaran,,
Nagapattinam,N,Nagapattinam,13,Nethaji,BJP,BJP+,84875,1,Nethaji,,
Nagapattinam,N,Nagapattinam,13,Paul Raj.A,PMK,PMK+,65351,2,Paul Raj.A,,
Nagapattinam,N,Nagapattinam,13,Dhaleem Ansari.A.P.,CPM,PWF+,46221,3,Dhaleem Ansari.A.P.,,
Nagapattinam,N,Nagapattinam,13,Jabrulla,MMK,DMK+,43743,4,Jabrulla,,
Nagapattinam,N,Nagapattinam,13,Thamimun Ansari,MJK,ADMK+,38721,5,Thamimun Ansari,,
Kilvelur,S,Nagapattinam,13,Gunasekaran.,IMKMK,BJP+,59964,1,Gunasekaran.,,
Kilvelur,S,Nagapattinam,13,Palani Velu,NTK,NTK+,45850,2,Palani Velu,,
Kilvelur,S,Nagapattinam,13,Meena.N,ADMK,ADMK+,43956,3,Meena.N,,
Kilvelur,S,Nagapattinam,13,Mathi Vanan,DMK,DMK+,39972,4,Mathi Vanan,,
Kilvelur,S,Nagapattinam,13,Vanitha.A,PMK,PMK+,32198,5,Vanitha.A,,
Vedaranyam,N,Nagapattinam,13,Gridharan,ADMK,ADMK+,58175,1,Gridharan,,
Vedaranyam,N,Nagapattinam,13,Vedha Rathnam,BJP,BJP+,52302,2,Vedha Rathnam,,
Vedaranyam,N,Nagapattinam,13,Vaira Nathan,DMDK,PWF+,50840,3,Vaira Nathan,,
Vedaranyam,N,Nagapattinam,13,Rajendran.,NTK,NTK+,37828,4,Rajendran.,,
Vedaranyam,N,Nagapattinam,13,Rajendran.P.V,INC,DMK+,34994,5,Rajendran.P.V,,
Vedaranyam,N,Nagapattinam,13,Usha Kannan.K,PMK,PMK+,34273,6,Usha Kannan.K,,
Thiruthuraipoondi,S,Thiruvarur,13,Raja Mohan,PMK,PMK+,66875,1,Raja Mohan,,
Thiruthuraipoondi,S,Thiruvarur,13,Saravana Kumar.P.R,NTK,NTK+,58038,2,Saravana Kumar.P.R,,
Thiruthuraipoondi,S,Thiruvarur,13,Uthaya Kumar,BJP,BJP+,46448,3,Uthaya Kumar,,
Thiruthuraipoondi,S,Thiruvarur,13,Maheshwari,DMK,DMK+,43699,4,Maheshwari,,
Thiruthuraipoondi,S,Thiruvarur,13,Uma Maheshwari.K,ADMK,ADMK+,11722,5,Uma Maheshwari.K,,
Mannargudi,N,Thiruvarur,13,Sudha.T,ADMK,ADMK+,67882,1,Sudha.T,,
Mannargudi,N,Thiruvarur,13,Siva Kumar @ Pettai Siva,BJP,BJP+,67068,2,Siva Kumar @ Pettai Siva,,
Mannargudi,N,Thiruvarur,13,Bala Subramanian.S,PMK,PMK+,63106,3,Bala Subramanian.S,,
Mannargudi,N,Thiruvarur,13,Raja.T.R.P,DMK,DMK+,21691,4,Raja.T.R.P,,
Thiruvarur,N,Thiruvarur,13,Sivakumar.R,PMK,PMK+,45311,1,Sivakumar.R,,
Thiruvarur,N,Thiruvarur,13,M.Karuna Nithi,DMK,DMK+,26095,2,M.Karuna Nithi,,
Thiruvarur,N,Thiruvarur,13,Masila Mani.P.S,CPM,PWF+,24408,3,Masila Mani.P.S,,
Thiruvarur,N,Thiruvarur,13,Thendral Chandra Sekar,NTK,NTK+,13431,4,Thendral Chandra Sekar,,
Thiruvarur,N,Thiruvarur,13,Paneer Selvam.A.N.R,ADMK,ADMK+,4515,5,Paneer Selvam.A.N.R,,
Nannilam,N,Thiruvarur,13,Durai Velan,INC,DMK+,51671,1,Durai Velan,,
Nannilam,N,Thiruvarur,13,Kamaraj.R,ADMK,ADMK+,51150,2,Kamaraj.R,,
Nannilam,N,Thiruvarur,13,Sundara Moorthy.G,CPI,PWF+,46780,3,Sundara Moorthy.G,,
Nannilam,N,Thiruvarur,13,Anbhu Selvam,NTK,NTK+,35189,4,Anbhu Selvam,,
Nannilam,N,Thiruvarur,13,Elavarasan.E,PMK,PMK+,31490,5,Elavarasan.E,,
Nannilam,N,Thiruvarur,13,Saravanan,IJK,BJP+,13071,6,Saravanan,,
Tittakudi,S,Cuddalore,13,Oomai Thurai,NTK,NTK+,62161,1,Oomai Thurai,,
Tittakudi,S,Cuddalore,13,Arjunan.E,PMK,PMK+,59396,2,Arjunan.E,,
Tittakudi,S,Cuddalore,13,Kalai Arasan,IJK,BJP+,56668,3,Kalai Arasan,,
Tittakudi,S,Cuddalore,13,Sashi Kumar,DMDK,PWF+,28852,4,Sashi Kumar,,
Tittakudi,S,Cuddalore,13,Saba,DMK,DMK+,14886,5,Saba,,
Kattumannarkoil,S,Cuddalore,13,Dr.Anbu Cholan,PMK,PMK+,64773,1,Dr.Anbu Cholan,,
Kattumannarkoil,S,Cuddalore,13,Thiruma Vazhavan,VC,PWF+,46762,2,Thiruma Vazhavan,,
Kattumannarkoil,S,Cuddalore,13,Dr.Saravanan.SP.,BJP,BJP+,41802,3,Dr.Saravanan.SP.,,
Kattumannarkoil,S,Cuddalore,13,Jaya Shree,NTK,NTK+,27250,4,Jaya Shree,,
Kattumannarkoil,S,Cuddalore,13,Mani Rathnam,INC,DMK+,24237,5,Mani Rathnam,,
